id,replies,retweets,quotes,likes,tidy_tweets,sentiment,Overall_sentimental,day_of_week,date_only,Time
1260701573765836805,12054,9460,1713,45364,Enough with the anger and division and fear mongering Mr President It s time for you to step up appeal to our better angels and unite the country We ll overcome this crisis by coming together not by tearing each other apart https t co jySlLNWoHG,-0.08124999999999999,Neutral,Wednesday,2020-05-13,22:40:00
1260717021840445452,7223,30529,2081,144330,I would trust the guy who s one of our nation s top public health experts not the one who pondered injecting disinfectant into the body and looked directly at a solar eclipse https t co nMJz nogpW,0.19999999999999998,Positive,Wednesday,2020-05-13,23:42:00
1260733099652022273,1322,4706,177,17239,Moments of crisis require swift and decisive action from our leaders but Donald Trump and his administration have done nothing but dither and delay They have failed the American people on every single front https t co Bl WqEG,-0.11785714285714285,Negative,Thursday,2020-05-14,00:46:00
1260744136212140034,1714,7187,375,18203,Not only does the Trump Administration want to take away health coverage for millions in the middle of a pandemic but now they want to let people go hungry too Their cruelty truly knows no bounds https t co JpuMOXEH,0.0,Neutral,Thursday,2020-05-14,01:30:00
1260751685959417858,2892,11302,614,44068, days into the coronavirus crisis the White House does not have a plan a framework a philosophy or a goal Real presidents lead Reality TV presidents don t https t co hn GkkPv Y,0.1,Positive,Thursday,2020-05-14,02:00:00
1260764765556740098,634,1976,111,17551,Happy Birthday to the one and only StevieWonder https t co AnjAnNiGxB,0.4,Positive,Thursday,2020-05-14,02:51:00
1260936654858137601,3824,7861,619,49375,There s nothing that the American people cannot accomplish when we stand together one nation united in purpose ,0.0,Neutral,Thursday,2020-05-14,14:15:00
1260968615450271744,1940,7573,331,26422,As the economy continues to spiral downwards and unemployment soars to Great Depression era levels we cannot ignore the hard truth This crisis hit us harder and will take longer to recover from because of Donald Trump s failures https t co PYVWy yG w,0.1361111111111111,Positive,Thursday,2020-05-14,16:22:00
1260986986820599812,692,1696,89,5593,With the void of leadership in the White House governors across the country have stepped up to meet this moment This afternoon I ll be joined by a few of them for a roundtable discussion on COVID Tune in at PM ET to watch https t co xk GcS PGq https t co EONVfE pk,-0.1,Negative,Thursday,2020-05-14,17:35:00
1261013914025750528,752,2127,97,7462,Small businesses are the backbone of this country We have to do so much more to support them through this crisis Here s what I would do if I were president https t co bXq WtrytM,0.125,Positive,Thursday,2020-05-14,19:22:00
1261018512920731648,949,1883,107,5689,Join me for a virtual roundtable on COVID with Governors Gretchen Whitmer Phil Murphy and Ned Lamont who are at the forefront of this crisis https t co qMB AT ST ,0.0,Neutral,Thursday,2020-05-14,19:40:00
1261034759758675972,1336,4850,168,18462,The lives of tens of millions of Americans have been thrown into chaos through no fault of their own and Donald Trump simply isn t doing enough to help them https t co l dIMOD aK,0.19999999999999998,Positive,Thursday,2020-05-14,20:44:00
1261061226886574081,487,1367,56,4725,Sherian a small business owner from South Carolina recently asked how I would help businesses like hers recover from this crisis and how we can tackle health care disparities among communities of color They re important questions Here s what I said https t co gfIxhmIoG,0.05000000000000001,Neutral,Thursday,2020-05-14,22:30:00
1261070033905577985,2902,13468,1089,36227,Donald Trump can deflect and shift blame all he wants but the hard truth is he failed to protect our nation from the worst public health and economic crisis in our lifetime https t co kHQnJrK a,-0.23194444444444448,Negative,Thursday,2020-05-14,23:05:00
1261077076465115141,11782,39343,3811,245063,What he said https t co qfK oHyFba,0.0,Neutral,Thursday,2020-05-14,23:32:00
1261090619285540864,1777,2468,243,10949,Tonight StaceyAbrams and I will be joining Lawrence for a discussion on combating COVID and how we can ensure everyone can make their voice heard this November Tune in to MSNBC at PM ET to watch live https t co yRr RJRiu ,0.13636363636363635,Positive,Friday,2020-05-15,00:26:00
1261098722852777984,6986,19505,1139,109892,We are months into this crisis There is simply no excuse for President Trump s failure to implement a national testing strategy ,-0.14583333333333334,Negative,Friday,2020-05-15,00:59:00
1261301559213715457,1781,9214,318,56996,To all of our front line workers who are working day in and day out to keep our nation afloat during this crisis thank you ,0.0,Neutral,Friday,2020-05-15,14:25:00
1261324208577015810,3461,9305,701,37885,We have the power to create the future we want A future where We end our gun violence epidemic We lead the world in combating climate change Everyone has access to the health care they need Our government works for all not just the wealthy and well connected,0.16666666666666666,Positive,Friday,2020-05-15,15:55:00
1261356924370423811,1354,2008,168,6146,If you re looking for ways to show off your support for the campaign or to stay entertained while we re social distancing we ve got you covered Check out our new free store where you ll find everything from phone backgrounds to crossword puzzles https t co Eihy ufHnY,0.1898989898989899,Positive,Friday,2020-05-15,18:05:00
1261384606433058816,938,5463,369,20867,To everyone who has lost a loved one due to COVID I know it s incredibly difficult right now but there will come a time when their memory brings a smile to your lips before it brings a tear to your eye It will take time but that s when you know you re going to make it https t co bGyr AIbWH,0.13214285714285712,Positive,Friday,2020-05-15,19:55:00
1261403984100818944,5924,6170,2318,31044,Trump s international failures have cleared a path for Cuba to join the UN Human Rights Council This would betray Cuba s political prisoners and further undermine U S diplomacy As President I will lead by empowering the Cuban people and defending human rights ,0.0,Neutral,Friday,2020-05-15,21:12:00
1261404739109113856,1435,1272,308,5044,Los fracasos internacionales de Trump han abierto el camino para que Cuba se una al Consejo de Derechos Humanos de la ONU Esto traiciona a los presos pol ticos en Cuba y mina a n m s la diplomacia de los EE UU Como presidente defender los derechos humanos del pueblo cubano ,0.0,Neutral,Friday,2020-05-15,21:15:00
1261408054093860865,335,808,47,2682,Unions like GoIUPAT are supporting their workers and communities during this pandemic To build a stronger more inclusive and more resilient middle class after this crisis we must encourage unionization That starts with enacting the PRO Act https t co JbZbXnGHfx,0.3125,Positive,Friday,2020-05-15,21:28:00
